pH,charge,charge_error
2.0,4.328030899613755,0.0538962451412445
2.5,3.676594042574468,0.06369778710295225
3.0,2.846670666616667,0.0691114121594015
3.5,1.9688966387920153,0.06892040676649949
4.0,1.1622067224159691,0.06312241346943875
4.5,0.5701116236047055,0.05065347517351694
5.0,0.22044849439381942,0.03501732616728689
5.5,0.07649279384007635,0.021428102306625365
6.0,0.024360945488182573,0.01246182548157354
6.5,0.0072299096261296825,0.007105971896087083
7.0,0.0009874876564035517,0.004790283141830334
7.5,-0.003301208734892036,0.005269950644776093
8.0,-0.012316096048799352,0.009043092692059515
8.5,-0.04268946638167215,0.016169568639180957
9.0,-0.12507093661329272,0.02716407000198067
9.5,-0.3434894563817936,0.04259887933043685
10.0,-0.8331858351770594,0.05840629764257237
10.5,-1.612156098048775,0.06884781788167588
11.0,-2.5490993862576716,0.07198577122196975
11.5,-3.48038649516881,0.06908347786356787
12.0,-4.236439544505694,0.05791528997068287
